request arrival cycle, request accepted cycle, ptw_idx, npu_idx
41449, 46649, 6, 0
41449, 46649, 7, 0
41449, 47049, 0, 0
41449, 47049, 1, 0
41449, 47049, 2, 0
41449, 47049, 3, 0
41449, 47049, 4, 0
41449, 47049, 5, 0
41449, 47049, 6, 0
41449, 47049, 7, 0
41449, 47449, 0, 0
41449, 47449, 1, 0
41449, 47449, 2, 0
41449, 47449, 3, 0
41449, 47449, 4, 0
41449, 47449, 5, 0
41449, 47449, 6, 0
41449, 47449, 7, 0
41449, 47849, 0, 0
41449, 47849, 1, 0
41449, 47849, 2, 0
41449, 47849, 3, 0
41449, 47849, 4, 0
41449, 47849, 5, 0
41449, 47849, 6, 0
41449, 47849, 7, 0
41449, 48249, 0, 0
41449, 48249, 1, 0
41449, 48249, 2, 0
41449, 48249, 3, 0
41449, 48249, 4, 0
41449, 48249, 5, 0
41449, 48249, 6, 0
41449, 48249, 7, 0
41449, 48649, 0, 0
41449, 48649, 1, 0
41449, 48649, 2, 0
41449, 48649, 3, 0
41449, 48649, 4, 0
41449, 48649, 5, 0
41449, 48649, 6, 0
41449, 48649, 7, 0
41449, 49049, 0, 0
41449, 49049, 1, 0
41449, 49049, 2, 0
41449, 49049, 3, 0
41449, 49049, 4, 0
41449, 49049, 5, 0
41449, 49049, 6, 0
41449, 49049, 7, 0
41449, 49449, 0, 0
41449, 49449, 1, 0
41449, 49449, 2, 0
41449, 49449, 3, 0
41449, 49449, 4, 0
41449, 49449, 5, 0
41449, 49449, 6, 0
41449, 49449, 7, 0
41449, 49849, 0, 0
41449, 49849, 1, 0
41449, 49849, 2, 0
41449, 49849, 3, 0
41449, 49849, 4, 0
41449, 49849, 5, 0
41449, 49849, 6, 0
41449, 49849, 7, 0
41449, 50249, 0, 0
41449, 50249, 1, 0
41449, 50249, 2, 0
41449, 50249, 3, 0
41449, 50249, 4, 0
41449, 50249, 5, 0
41449, 50249, 6, 0
41449, 50249, 7, 0
41449, 50649, 0, 0
41449, 50649, 1, 0
41449, 50649, 2, 0
41449, 50649, 3, 0
41449, 50649, 4, 0
41449, 50649, 5, 0
41449, 50649, 6, 0
41449, 50649, 7, 0
41449, 51049, 0, 0
41449, 51049, 1, 0
41449, 51049, 2, 0
41449, 51049, 3, 0
41449, 51049, 4, 0
41449, 51049, 5, 0
41449, 51049, 6, 0
41449, 51049, 7, 0
41449, 51449, 0, 0
41449, 51449, 1, 0
41449, 51449, 2, 0
41449, 51449, 3, 0
41449, 51449, 4, 0
41449, 51449, 5, 0
41449, 51449, 6, 0
41449, 51449, 7, 0
41449, 51849, 0, 0
41449, 51849, 1, 0
41449, 51849, 2, 0
41449, 51849, 3, 0
41449, 51849, 4, 0
41449, 51849, 5, 0
41449, 51849, 6, 0
41449, 51849, 7, 0
41449, 52249, 0, 0
41449, 52249, 1, 0
41449, 52249, 2, 0
41449, 52249, 3, 0
41449, 52249, 4, 0
41449, 52249, 5, 0
41449, 52249, 6, 0
41449, 52249, 7, 0
41449, 52649, 0, 0
41449, 52649, 1, 0
41449, 52649, 2, 0
41449, 52649, 3, 0
41449, 52649, 4, 0
41449, 52649, 5, 0
41449, 52649, 6, 0
41449, 52649, 7, 0
41449, 53049, 0, 0
41449, 53049, 1, 0
41449, 53049, 2, 0
41449, 53049, 3, 0
41449, 53049, 4, 0
41449, 53049, 5, 0
41449, 53049, 6, 0
41449, 53049, 7, 0
41449, 53449, 0, 0
41449, 53449, 1, 0
41449, 53449, 2, 0
41449, 53449, 3, 0
41449, 53449, 4, 0
41449, 53449, 5, 0
41449, 53449, 6, 0
41449, 53449, 7, 0
41449, 53849, 0, 0
41449, 53849, 1, 0
41449, 53849, 2, 0
41449, 53849, 3, 0
41449, 53849, 4, 0
41449, 53849, 5, 0
41449, 53849, 6, 0
41449, 53849, 7, 0
41449, 54249, 0, 0
41449, 54249, 1, 0
41449, 54249, 2, 0
41449, 54249, 3, 0
41449, 54249, 4, 0
41449, 54249, 5, 0
41449, 54249, 6, 0
41449, 54249, 7, 0
41449, 54649, 0, 0
41449, 54649, 1, 0
41449, 54649, 2, 0
41449, 54649, 3, 0
41449, 54649, 4, 0
41449, 54649, 5, 0
41449, 54649, 6, 0
41449, 54649, 7, 0
41449, 55049, 0, 0
41449, 55049, 1, 0
41449, 55049, 2, 0
41449, 55049, 3, 0
41449, 55049, 4, 0
41449, 55049, 5, 0
41449, 55049, 6, 0
41449, 55049, 7, 0
41449, 55449, 0, 0
41449, 55449, 1, 0
41449, 55449, 2, 0
41449, 55449, 3, 0
41449, 55449, 4, 0
41449, 55449, 5, 0
41449, 55449, 6, 0
41449, 55449, 7, 0
41449, 55849, 0, 0
41449, 55849, 1, 0
41449, 55849, 2, 0
41449, 55849, 3, 0
41449, 55849, 4, 0
41449, 55849, 5, 0
41449, 55849, 6, 0
41449, 55849, 7, 0
41449, 56249, 0, 0
41449, 56249, 1, 0
41449, 56249, 2, 0
41449, 56249, 3, 0
41449, 56249, 4, 0
41449, 56249, 5, 0
41449, 56249, 6, 0
41449, 56249, 7, 0
41449, 56649, 0, 0
41449, 56649, 1, 0
41449, 56649, 2, 0
41449, 56649, 3, 0
41449, 56649, 4, 0
41449, 56649, 5, 0
41449, 56649, 6, 0
41449, 56649, 7, 0
41449, 57049, 0, 0
41449, 57049, 1, 0
41449, 57049, 2, 0
41449, 57049, 3, 0
41449, 57049, 4, 0
41449, 57049, 5, 0
41449, 57049, 6, 0
41449, 57049, 7, 0
41449, 57449, 0, 0
41449, 57449, 1, 0
41449, 57449, 2, 0
41449, 57449, 3, 0
41449, 57449, 4, 0
41449, 57449, 5, 0
41449, 57449, 6, 0
41449, 57449, 7, 0
41449, 57849, 0, 0
41449, 57849, 1, 0
41449, 57849, 2, 0
41449, 57849, 3, 0
41449, 57849, 4, 0
41449, 57849, 5, 0
41449, 57849, 6, 0
41449, 57849, 7, 0
41449, 58249, 0, 0
41449, 58249, 1, 0
41449, 58249, 2, 0
41449, 58249, 3, 0
41449, 58249, 4, 0
41449, 58249, 5, 0
41449, 58249, 6, 0
41449, 58249, 7, 0
41449, 58649, 0, 0
41449, 58649, 1, 0
41449, 58649, 2, 0
41449, 58649, 3, 0
41449, 58649, 4, 0
41449, 58649, 5, 0
41449, 58649, 6, 0
41449, 58649, 7, 0
41449, 59049, 0, 0
41449, 59049, 1, 0
41449, 59049, 2, 0
41449, 59049, 3, 0
41449, 59049, 4, 0
41449, 59049, 5, 0
41449, 59049, 6, 0
41449, 59049, 7, 0
41449, 59449, 0, 0
41449, 59449, 1, 0
41449, 59449, 2, 0
41449, 59449, 3, 0
41449, 59449, 4, 0
41449, 59449, 5, 0
41449, 59449, 6, 0
41449, 59449, 7, 0
41449, 59849, 0, 0
41449, 59849, 1, 0
41449, 59849, 2, 0
41449, 59849, 3, 0
41449, 59849, 4, 0
41449, 59849, 5, 0
41449, 59849, 6, 0
41449, 59849, 7, 0
41449, 60249, 0, 0
41449, 60249, 1, 0
41449, 60249, 2, 0
41449, 60249, 3, 0
